WELLNAME = well120
STDEP  =  3500.0000    
ENDEP  =  4473.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3519.0000    52.0942      23.4356      28.1913      50.5599      15.5070      112.5040     160.3505     0.0000       95.5863      0.0000       0.0000       
3519.1250    52.4132      23.4565      29.8374      50.7365      15.1932      95.8319      141.0128     0.0000       95.5826      0.0000       0.0000       
3519.2500    52.6221      23.4787      31.2563      50.8522      14.9673      85.3934      128.1425     0.0000       95.5872      0.0000       0.0000       
3519.3750    52.7983      23.5070      29.6420      50.9497      14.7036      77.6739      116.9218     0.0000       95.6148      0.0000       0.0000       
3519.5000    52.7935      23.5351      30.6311      50.9470      14.3580      71.3163      107.2930     0.0000       95.6279      0.0000       0.0000       
3519.6250    52.6235      23.5641      29.7757      50.8530      14.0407      68.8588      99.7481      0.0000       95.6558      0.0000       0.0000       
3519.7500    52.3348      23.5732      28.0854      50.6931      13.7581      82.0576      94.3963      0.0000       95.6672      0.0000       0.0000       
3519.8750    51.9551      23.5764      26.2186      50.4829      13.5199      100.5782     92.8005      0.0000       95.6961      0.0000       0.0000       
3520.0000    51.6412      23.5797      28.4210      50.3092      13.5502      142.9734     123.4428     0.0000       95.7084      0.0000       0.0000       
3520.1250    51.3961      23.5828      28.9299      50.1735      13.6753      176.1503     158.1801     0.0000       95.7359      0.0000       0.0000       
3520.2500    51.2365      23.6054      29.7924      50.0851      13.7656      200.6741     206.3327     0.0000       95.8192      0.0000       0.0000       
3520.3750    51.1533      23.6335      30.9078      50.0390      13.7769      191.7675     227.5045     0.0000       95.8941      0.0000       0.0000       
3520.5000    51.1391      23.6617      30.9871      50.0312      13.7375      172.2608     211.4670     0.0000       95.9617      0.0000       0.0000       
3520.6250    51.1638      23.6901      28.3117      50.0449      13.7077      162.7219     198.0435     0.0000       96.0295      0.0000       0.0000       
3520.7500    51.2264      23.7181      30.0841      50.0795      13.7221      170.9566     186.9085     0.0000       96.0984      0.0000       0.0000       
3520.8750    51.2295      23.7844      29.3801      50.0812      13.7586      181.2511     179.8130     0.0000       96.1175      0.0000       0.0000       
3521.0000    51.1336      23.8443      31.7842      50.0282      13.7889      189.9038     188.7005     0.0000       96.1212      0.0000       0.0000       
3521.1250    50.9845      23.8982      33.7589      49.9456      13.8161      193.9182     193.1683     0.0000       96.1977      0.0000       0.0000       
3521.2500    50.8743      23.9518      32.4229      49.8846      13.8149      188.8078     187.4251     0.0000       96.2255      0.0000       0.0000       
3521.3750    50.8217      24.0055      29.8233      49.8554      13.8038      184.9948     185.9311     0.0000       96.2763      0.0000       0.0000       
3521.5000    50.8349      24.0592      31.2419      49.8628      13.7553      194.2983     197.4673     0.0000       96.3436      0.0000       0.0000       
3521.6250    50.9307      24.0936      31.2706      49.9158      13.6843      191.8032     191.3941     0.0000       96.4355      0.0000       0.0000       
3521.7500    51.0978      24.1219      31.7542      50.0083      13.5817      191.4704     191.6544     0.0000       96.5118      0.0000       0.0000       
3521.8750    51.2872      24.1696      31.1512      50.1132      13.4130      198.9052     197.9453     0.0000       96.5551      0.0000       0.0000       
3522.0000    51.5342      24.1855      31.5336      50.2499      13.2347      191.6355     193.7782     0.0000       96.5900      0.0000       0.0000       
3522.1250    51.8420      24.1885      33.4576      50.4203      13.1638      180.3264     182.8904     0.0000       96.6027      0.0000       0.0000       
3522.2500    52.0761      24.1536      30.6813      50.5499      13.1845      170.2701     168.7494     0.0000       96.6548      0.0000       0.0000       
3522.3750    52.0489      24.1062      29.4212      50.5349      13.3759      168.5670     158.7131     0.0000       96.7222      0.0000       0.0000       
3522.5000    52.0271      24.0398      31.5474      50.5228      13.6841      172.7912     157.4488     0.0000       96.7418      0.0000       0.0000       
3522.6250    51.9663      23.9675      33.4208      50.4891      13.9860      172.2554     164.8543     0.0000       96.8420      0.0000       0.0000       
3522.7500    51.9164      23.9332      35.2944      50.4615      14.1741      165.0646     159.4541     0.0000       96.9014      0.0000       0.0000       
3522.8750    51.8832      23.9103      34.6408      50.4431      14.1571      157.1081     152.2259     0.0000       96.9840      0.0000       0.0000       
3523.0000    51.8611      23.9072      36.1352      50.4309      14.0735      148.8949     145.2804     0.0000       97.0351      0.0000       0.0000       
3523.1250    51.8392      23.8913      34.6474      50.4188      14.0439      141.3050     138.9875     0.0000       97.1193      0.0000       0.0000       
3523.2500    51.8056      23.8692      33.8929      50.4002      14.0519      135.9791     143.0575     0.0000       97.1952      0.0000       0.0000       
3523.3750    51.8029      23.8475      33.5173      50.3987      14.0853      143.6891     151.5859     0.0000       97.2381      0.0000       0.0000       
3523.5000    51.8078      23.8248      33.9755      50.4014      14.1632      150.6304     159.0993     0.0000       97.3214      0.0000       0.0000       
3523.6250    51.8159      23.7840      35.0656      50.4058      14.2247      156.9646     166.0984     0.0000       97.3974      0.0000       0.0000       
3523.7500    51.8127      23.7364      34.5634      50.4041      14.3149      161.2353     171.5980     0.0000       97.4643      0.0000       0.0000       
3523.8750    51.8184      23.6892      34.1123      50.4072      14.4274      160.1324     172.4783     0.0000       97.5318      0.0000       0.0000       
3524.0000    51.8343      23.6422      35.1010      50.4160      14.5144      158.6135     171.0824     0.0000       97.6231      0.0000       0.0000       
3524.1250    51.8779      23.6132      33.2345      50.4402      14.6114      162.7435     176.4375     0.0000       97.7224      0.0000       0.0000       
3524.2500    51.9331      23.5910      31.5699      50.4707      14.6762      168.8207     182.9616     0.0000       97.8214      0.0000       0.0000       
3524.3750    52.0340      23.5688      32.4833      50.5266      14.7379      169.4116     189.0457     0.0000       97.9212      0.0000       0.0000       
3524.5000    52.1192      23.5850      34.6851      50.5738      14.7933      153.4004     173.5200     0.0000       97.9718      0.0000       0.0000       
3524.6250    52.2369      23.5751      35.9518      50.6389      14.8645      135.0034     152.0880     0.0000       98.0792      0.0000       0.0000       
3524.7500    52.4264      23.5907      36.0816      50.7438      14.9137      119.9344     138.0077     0.0000       98.2103      0.0000       0.0000       
3524.8750    52.6865      23.5999      37.6015      50.8878      14.9439      104.8739     124.0132     0.0000       98.3163      0.0000       0.0000       
3525.0000    53.0129      23.5841      38.9187      51.0685      14.9427      89.2426      116.6939     0.0000       98.4388      0.0000       0.0000       
3525.1250    53.4637      23.5622      40.4385      51.3181      14.8559      70.3734      110.3119     0.0000       98.5937      0.0000       0.0000       
3525.2500    53.9613      23.5404      41.9328      51.5936      14.6493      57.5800      104.0908     0.0000       98.7325      0.0000       0.0000       
3525.3750    54.5084      23.4810      43.4016      51.8964      14.3067      49.1255      90.0787      0.0000       98.9106      0.0000       0.0000       
3525.5000    55.0626      23.4453      45.5031      52.2033      13.9105      42.3363      73.4949      0.0000       99.0813      0.0000       0.0000       
3525.6250    55.8424      23.4424      43.6106      52.6350      13.5176      35.1667      63.2522      0.0000       99.1954      0.0000       0.0000       
3525.7500    56.2099      23.4457      41.4407      52.8384      13.1561      32.8908      55.1607      0.0000       99.3414      0.0000       0.0000       
3525.8750    55.2689      23.4293      39.8774      52.3175      12.8041      34.8848      55.3045      0.0000       99.5272      0.0000       0.0000       
3526.0000    54.6882      23.3693      38.5668      51.9960      12.4712      37.5350      58.9625      0.0000       99.7449      0.0000       0.0000       
3526.1250    54.7339      23.3154      39.7579      52.0213      12.1823      40.9944      63.6286      0.0000       99.9475      0.0000       0.0000       
