WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3024.7500    60.6448      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.3651       49.6472      -99999.0000  
3024.8750    59.0237      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.3151       52.9564      -99999.0000  
3025.0000    57.0263      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.2649       69.7652      -99999.0000  
3025.1250    55.0837      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.1388       93.2492      -99999.0000  
3025.2500    53.7357      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9873       138.0745     -99999.0000  
3025.3750    51.5646      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.5569       229.5356     -99999.0000  
3025.5000    50.5900      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.9999       403.5500     -99999.0000  
3025.6250    54.1120      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.6200       421.0430     -99999.0000  
3025.7500    57.7691      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.2148       157.7419     -99999.0000  
3025.8750    58.9678      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.1286       126.1496     -99999.0000  
3026.0000    57.2578      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9918       132.5260     -99999.0000  
3026.1250    55.0768      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.6011       118.8063     -99999.0000  
3026.2500    52.5003      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9934       176.7406     -99999.0000  
3026.3750    51.3134      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.8163       296.5602     -99999.0000  
3026.5000    51.9695      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.4622       355.2812     -99999.0000  
3026.6250    51.9212      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.1333       277.8378     -99999.0000  
3026.7500    51.7764      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.6021       238.6609     -99999.0000  
3026.8750    52.0821      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.6021       231.5856     -99999.0000  
3027.0000    51.7378      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.4252       226.7190     -99999.0000  
3027.1250    51.1395      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.9080       358.5049     -99999.0000  
3027.2500    50.5218      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.5938       512.6080     -99999.0000  
3027.3750    49.8463      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.8223       572.4666     -99999.0000  
