WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3549.0000    47.5833      21.9773      2.1159       26.0309      403.3359     
3549.1250    47.5326      21.9820      2.0538       26.8914      436.7801     
3549.2500    47.5307      21.9860      2.0214       24.9015      422.8883     
3549.3750    47.5762      21.9888      2.0807       27.0936      364.3451     
3549.5000    47.6218      21.9933      2.1399       29.1895      330.4434     
3549.6250    47.3777      21.9967      2.1381       31.1910      382.0208     
3549.7500    46.9402      21.9991      2.0449       30.8161      452.0613     
3549.8750    46.6483      22.0027      2.0435       29.4914      672.4568     
3550.0000    46.5488      22.0063      2.2542       28.1673      873.6406     
3550.1250    46.7392      21.9787      2.4953       29.5980      624.4843     
3550.2500    47.2192      21.9512      2.7367       30.0789      442.2371     
3550.3750    47.7958      21.9861      2.9474       31.7002      334.3352     
3550.5000    48.3247      22.0217      3.1277       30.6600      217.6839     
3550.6250    49.0938      22.0258      3.2171       32.9472      160.7739     
3550.7500    49.6224      22.0292      3.2154       33.1424      136.5847     
3550.8750    49.6197      22.0326      3.0618       28.3966      117.6751     
3551.0000    49.1819      22.0369      2.8778       28.5918      110.7853     
3551.1250    48.9389      22.0405      2.7244       29.7380      129.2787     
