WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3521.1250    46.3804      23.2816      15.3004      17.9079      3468.4895    228.3275     0.0000       208.0123     0.0000       
3521.2500    46.0773      23.4807      14.5029      18.2066      2962.7983    220.9310     0.0000       208.3231     0.0000       
3521.3750    46.0771      23.6798      13.3069      19.2028      2683.7493    217.7318     0.0000       208.6339     0.0000       
3521.5000    45.8497      23.7792      14.6018      18.8040      2804.7388    216.1559     0.0000       208.8825     0.0000       
3521.6250    45.3195      23.7790      15.3987      18.5049      3369.3818    210.6930     0.0000       209.0688     0.0000       
3521.7500    45.2435      23.7788      16.5940      18.1560      4168.1963    200.9014     0.0000       209.3173     0.0000       
3521.8750    45.4705      23.7786      17.5901      17.6575      5488.1401    195.1073     0.0000       209.5036     0.0000       
3522.0000    46.0759      23.6788      16.8922      17.3086      5993.5117    192.9860     0.0000       209.6901     0.0000       
3522.1250    46.7570      23.4793      15.7959      16.7106      5906.8296    193.0015     0.0000       209.8142     0.0000       
3522.2500    47.2110      23.2797      16.8916      16.3118      5864.1675    193.0147     0.0000       209.8760     0.0000       
3522.3750    46.7565      23.0803      17.6884      16.5109      5843.2021    193.7370     0.0000       210.0000     0.0000       
3522.5000    46.3777      22.9805      18.6845      16.1619      5865.1655    199.5181     0.0000       210.0618     0.0000       
3522.6250    46.7560      22.8806      19.1824      16.4606      6040.3667    201.0028     0.0000       210.0613     0.0000       
3522.7500    46.8314      22.8804      17.5878      16.5103      6197.9492    199.5479     0.0000       210.0608     0.0000       
3522.8750    46.8312      22.8802      18.0857      16.4104      6041.3950    197.3783     0.0000       210.0604     0.0000       
3523.0000    46.8309      22.8800      18.8824      15.9120      5472.3750    200.3108     0.0000       210.0599     0.0000       
3523.1250    47.2848      22.8798      18.7825      15.3637      4674.5439    205.5332     0.0000       210.0594     0.0000       
3523.2500    47.9659      22.9792      18.5829      15.1145      4885.2456    210.8918     0.0000       210.0589     0.0000       
3523.3750    48.2684      23.0786      20.4758      15.5128      5276.7505    219.5901     0.0000       210.0583     0.0000       
3523.5000    47.6626      23.1781      20.3758      15.8115      5699.7188    229.4847     0.0000       210.0579     0.0000       
3523.6250    47.2838      23.2775      19.4787      15.9109      6000.4844    242.4780     0.0000       210.0575     0.0000       
3523.7500    47.7377      23.3770      17.6848      16.1100      6225.1406    260.9513     0.0000       210.0569     0.0000       
3523.8750    48.3430      23.4764      17.2858      16.6578      6434.8433    276.7395     0.0000       210.1186     0.0000       
3524.0000    48.1156      23.4762      17.7838      16.6576      5701.7339    293.4833     0.0000       210.1804     0.0000       
3524.1250    47.5855      23.4760      18.1819      17.0061      4395.0991    302.2456     0.0000       210.1800     0.0000       
3524.2500    47.5853      23.4758      18.1817      17.0059      2979.8035    296.7752     0.0000       210.3041     0.0000       
3524.3750    48.2662      23.4755      17.6831      16.3580      2080.3970    290.3371     0.0000       210.4281     0.0000       
3524.5000    48.7957      23.4754      18.3803      16.7065      1490.2242    285.0822     0.0000       210.5522     0.0000       
3524.6250    48.2656      23.4751      19.5756      16.9057      1095.2268    302.3347     0.0000       210.7384     0.0000       
3524.7500    47.9626      23.3752      20.3725      17.2043      844.2383     325.3657     0.0000       210.8626     0.0000       
3524.8750    47.9623      23.4747      21.1693      17.3536      908.5543     372.6800     0.0000       210.9868     0.0000       
3525.0000    48.0378      23.5741      20.7705      17.6523      1006.8820    417.5800     0.0000       211.1730     0.0000       
3525.1250    48.2645      23.6736      19.8733      17.9511      1187.6473    446.1071     0.0000       211.3594     0.0000       
3525.2500    48.5669      23.6733      19.1755      18.3494      1442.5577    473.1063     0.0000       211.5458     0.0000       
3525.3750    48.7180      23.6732      17.6805      18.5984      1223.1967    485.4440     0.0000       211.7321     0.0000       
3525.5000    48.7178      23.6729      19.0752      18.7974      1037.1908    489.0534     0.0000       211.9184     0.0000       
3525.6250    48.7174      23.6728      20.6691      17.8506      823.2982     489.0892     0.0000       212.1048     0.0000       
3525.7500    48.6415      23.5729      20.7685      18.3486      708.4168     482.0080     0.0000       212.2288     0.0000       
3525.8750    48.4899      23.5727      19.8713      18.3982      653.5542     449.5978     0.0000       212.3528     0.0000       
3526.0000    48.4896      23.3732      18.5757      18.1489      544.0984     382.6272     0.0000       212.4769     0.0000       
3526.1250    48.7163      23.3730      18.9739      18.1487      351.7016     303.7140     0.0000       212.6009     0.0000       
3526.2500    49.2457      23.3728      19.7708      18.5969      221.5771     263.2593     0.0000       212.6628     0.0000       
3526.3750    49.6995      23.2729      20.5675      18.8458      209.7315     263.2778     0.0000       212.7246     0.0000       
3526.5000    49.1695      23.2727      20.9659      19.2442      245.5739     271.1357     0.0000       212.7859     0.0000       
3526.6250    48.7152      23.2724      20.1683      19.4433      311.7077     307.1683     0.0000       212.7852     0.0000       
3526.7500    48.2609      23.2722      19.9688      19.6921      377.2267     458.1625     0.0000       212.7852     0.0000       
3526.8750    47.7310      23.1723      20.6659      19.2436      782.7131     581.5501     0.0000       212.7849     0.0000       
3527.0000    47.4281      23.1721      20.9646      18.2967      1678.5558    644.4919     0.0000       212.7843     0.0000       
3527.1250    47.1252      23.1721      20.1670      17.9478      3345.2007    703.8449     0.0000       212.7839     0.0000       
3527.2500    47.0493      23.0720      19.5689      18.4458      3653.2993    727.5285     0.0000       212.7213     0.0000       
