WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3510.5000    51.6910      23.3180      -99999.0000  -99999.0000  -99999.0000  35.0342      -99999.0000  -99999.0000  53.8183      37.6353      1998.2666    4834.3408    -99999.0000  0.0000       115.1921     -99999.0000  -99999.0000  0.0000       0.0000       
3510.6250    51.6231      23.2866      -99999.0000  -99999.0000  -99999.0000  37.5225      -99999.0000  -99999.0000  53.6693      37.0706      1994.6675    4861.6284    -99999.0000  0.0000       115.6050     -99999.0000  -99999.0000  0.0000       0.0000       
3510.7500    51.5745      23.2235      -99999.0000  -99999.0000  -99999.0000  35.7965      -99999.0000  -99999.0000  53.5627      37.2294      2068.4253    4703.0410    -99999.0000  0.0000       116.0576     -99999.0000  -99999.0000  0.0000       0.0000       
3510.8750    51.5644      23.1667      -99999.0000  -99999.0000  -99999.0000  38.3356      -99999.0000  -99999.0000  53.5406      37.5977      1977.8979    4751.5122    -99999.0000  0.0000       116.5102     -99999.0000  -99999.0000  0.0000       0.0000       
3511.0000    51.6412      23.1163      -99999.0000  -99999.0000  -99999.0000  38.6913      -99999.0000  -99999.0000  53.7091      37.8771      1878.2184    4834.3120    -99999.0000  0.0000       116.9072     -99999.0000  -99999.0000  0.0000       0.0000       
3511.1250    51.7566      23.1039      -99999.0000  -99999.0000  -99999.0000  41.6621      -99999.0000  -99999.0000  53.9623      37.8201      1925.9653    4845.7974    -99999.0000  0.0000       116.6934     -99999.0000  -99999.0000  0.0000       0.0000       
3511.2500    51.9010      23.1233      -99999.0000  -99999.0000  -99999.0000  39.6059      -99999.0000  -99999.0000  54.2790      37.3696      2259.4773    4644.3633    -99999.0000  0.0000       116.1146     -99999.0000  -99999.0000  0.0000       0.0000       
3511.3750    52.0454      23.1681      -99999.0000  -99999.0000  -99999.0000  36.9405      -99999.0000  -99999.0000  54.5957      36.9762      2620.3882    4860.2109    -99999.0000  0.0000       115.5041     -99999.0000  -99999.0000  0.0000       0.0000       
3511.5000    52.0546      23.2382      -99999.0000  -99999.0000  -99999.0000  35.0621      -99999.0000  -99999.0000  54.6161      37.3445      3217.1445    5185.7700    -99999.0000  0.0000       114.9491     -99999.0000  -99999.0000  0.0000       0.0000       
3511.6250    51.8998      23.3338      -99999.0000  -99999.0000  -99999.0000  33.6914      -99999.0000  -99999.0000  54.2765      37.6366      3945.4404    5577.6611    -99999.0000  0.0000       114.3385     -99999.0000  -99999.0000  0.0000       0.0000       
3511.7500    51.7451      23.4357      -99999.0000  -99999.0000  -99999.0000  33.0825      -99999.0000  -99999.0000  53.9369      37.5162      7479.5708    6231.2773    -99999.0000  0.0000       113.8232     -99999.0000  -99999.0000  0.0000       0.0000       
3511.8750    51.5806      23.4996      -99999.0000  -99999.0000  -99999.0000  34.2506      -99999.0000  -99999.0000  53.5762      37.4148      3988.2461    5788.1133    -99999.0000  0.0000       113.3237     -99999.0000  -99999.0000  0.0000       0.0000       
3512.0000    51.5417      23.5507      -99999.0000  -99999.0000  -99999.0000  32.2199      -99999.0000  -99999.0000  53.4907      37.6752      2059.5164    4756.1680    -99999.0000  0.0000       112.7688     -99999.0000  -99999.0000  0.0000       0.0000       
3512.1250    51.7246      23.6018      -99999.0000  -99999.0000  -99999.0000  30.6715      -99999.0000  -99999.0000  53.8920      37.7705      1496.7534    3628.2056    -99999.0000  0.0000       112.3645     -99999.0000  -99999.0000  0.0000       0.0000       
3512.2500    51.8883      23.6529      -99999.0000  -99999.0000  -99999.0000  30.5957      -99999.0000  -99999.0000  54.2511      37.6500      1183.2241    2980.3997    -99999.0000  0.0000       111.8018     -99999.0000  -99999.0000  0.0000       0.0000       
3512.3750    52.0423      23.7040      -99999.0000  -99999.0000  -99999.0000  32.1193      -99999.0000  -99999.0000  54.5890      37.8089      1017.4872    2704.9314    -99999.0000  0.0000       111.6671     -99999.0000  -99999.0000  0.0000       0.0000       
3512.5000    52.1191      23.7742      -99999.0000  -99999.0000  -99999.0000  29.8854      -99999.0000  -99999.0000  54.7576      38.0058      970.7853     2571.4966    -99999.0000  0.0000       112.0324     -99999.0000  -99999.0000  0.0000       0.0000       
3512.6250    52.1284      23.8316      -99999.0000  -99999.0000  -99999.0000  29.2764      -99999.0000  -99999.0000  54.7779      37.9869      1054.6133    2477.0264    -99999.0000  0.0000       112.4374     -99999.0000  -99999.0000  0.0000       0.0000       
3512.7500    52.1087      23.8447      -99999.0000  -99999.0000  -99999.0000  31.0031      -99999.0000  -99999.0000  54.7347      37.7649      1162.3461    2793.6257    -99999.0000  0.0000       112.7948     -99999.0000  -99999.0000  0.0000       0.0000       
3512.8750    52.0504      23.8450      -99999.0000  -99999.0000  -99999.0000  32.6029      -99999.0000  -99999.0000  54.6068      37.6127      1266.9802    3068.3242    -99999.0000  0.0000       113.1918     -99999.0000  -99999.0000  0.0000       0.0000       
3513.0000    51.9439      23.8454      -99999.0000  -99999.0000  -99999.0000  30.2929      -99999.0000  -99999.0000  54.3731      37.7334      1372.2715    3212.9126    -99999.0000  0.0000       113.6286     -99999.0000  -99999.0000  0.0000       0.0000       
