WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3696.0000    52.0761      25.3211      29.1759      53.2573      19.9423      351.6649     258.8756     0.0564       142.7756     0.1370       13.6971      
3696.1250    51.8456      25.3475      27.4756      53.0690      20.1333      350.6630     250.2800     0.0544       142.7930     0.1248       12.4826      
3696.2500    51.4991      25.3738      27.1210      52.7858      20.3496      349.9904     237.2564     0.0513       142.8103     0.1223       12.2293      
3696.3750    51.5203      25.3874      29.2042      52.8032      20.5279      349.3209     218.4732     0.0515       142.8270     0.1372       13.7173      
3696.5000    52.2191      25.3883      30.7034      53.3742      20.7062      348.6515     185.6050     0.0576       142.8284     0.1479       14.7882      
3696.6250    52.7822      25.4022      31.9994      53.8344      20.9608      347.3328     154.4654     0.0625       142.8138     0.1571       15.7138      
3696.7500    52.8809      25.4159      33.2954      53.9151      21.0626      345.0461     136.1100     0.0634       142.7989     0.1664       16.6395      
3696.8750    52.6698      25.4165      34.5661      53.7425      21.2537      341.8150     149.7508     0.0615       142.7845     0.1755       17.5472      
3697.0000    52.4396      25.4301      35.8874      53.5544      21.3684      335.7693     167.5605     0.0595       142.7698     0.1849       18.4910      
3697.1250    52.2285      25.4568      37.3103      53.3819      21.2800      327.3706     181.7806     0.0577       142.7549     0.1951       19.5074      
3697.2500    52.0365      25.4705      36.1687      53.2250      21.1409      314.4319     195.3689     0.0560       142.7404     0.1869       18.6919      
3697.3750    51.8065      25.4713      36.3222      53.0370      21.0018      298.0703     205.8824     0.0540       142.7102     0.1880       18.8016      
3697.5000    51.6725      25.4719      36.8562      52.9275      20.9260      279.4014     203.0012     0.0529       142.6801     0.1918       19.1830      
3697.6250    51.6551      25.4731      34.5464      52.9133      20.8250      253.4536     200.1604     0.0527       142.6652     0.1753       17.5331      
3697.7500    51.8698      25.4743      34.9283      53.0888      20.8256      220.4264     195.8856     0.0546       142.6659     0.1781       17.8059      
3697.8750    52.0847      25.4749      33.9136      53.2644      20.9150      191.5229     190.2711     0.0565       142.6201     0.1708       17.0811      
3698.0000    52.2222      25.4757      32.0608      53.3768      20.9789      167.1908     182.9226     0.0577       142.5581     0.1576       15.7577      
3698.1250    52.2823      25.4767      33.3824      53.4259      21.0683      166.0906     178.3468     0.0582       142.5430     0.1670       16.7017      
3698.2500    52.2452      25.4777      34.0180      53.3955      21.1450      164.3814     177.1735     0.0579       142.5440     0.1716       17.1557      
3698.3750    52.0536      25.4914      33.9937      53.2390      21.2090      161.3236     175.5140     0.0562       142.5453     0.1714       17.1384      
3698.5000    51.8230      25.5051      32.1157      53.0505      21.0951      155.6756     171.7650     0.0542       142.5312     0.1580       15.7969      
3698.6250    51.5346      25.5061      31.6340      52.8148      21.0322      148.1295     167.1555     0.0516       142.5165     0.1545       15.4529      
3698.7500    51.7687      25.5070      31.1526      53.0061      21.0454      141.2132     161.1521     0.0537       142.5176     0.1511       15.1090      
3698.8750    52.4093      25.5204      30.0364      53.5296      21.0333      135.6327     155.3650     0.0593       142.5188     0.1431       14.3117      
3699.0000    52.2565      25.5473      30.7990      53.4048      21.0719      130.6391     148.9454     0.0580       142.5357     0.1486       14.8564      
3699.1250    51.8324      25.5611      32.6537      53.0582      21.1232      127.9692     143.3278     0.0543       142.5529     0.1618       16.1812      
3699.2500    51.2730      25.5614      33.3402      52.6010      21.1617      128.8056     145.2136     0.0493       142.5542     0.1667       16.6716      
3699.3750    52.1845      25.5750      31.8176      53.3460      21.2765      132.3472     152.0275     0.0573       142.4765     0.1558       15.5840      
3699.5000    52.0123      25.5762      30.4220      53.2052      21.2008      138.8175     158.1216     0.0558       142.3985     0.1459       14.5871      
3699.6250    51.4528      25.5645      28.9756      52.7480      21.0490      146.8369     164.7679     0.0509       142.3679     0.1355       13.5540      
3699.7500    50.9901      25.5398      27.5547      52.3698      20.9479      156.9283     171.6942     0.0468       142.3373     0.1254       12.5390      
3699.8750    51.1855      25.5154      26.8955      52.5296      20.8215      169.7674     179.4142     0.0485       142.3224     0.1207       12.0682      
