WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3014.3750    -99999.0000  23.1844      0.0000       15.7149      0.0000       0.0000       0.0000       15.2402      -99999.0000  -99999.0000  0.0000       0.0000       65.3164      0.0000       0.0000       0.0000       
3014.5000    -99999.0000  23.1838      0.0000       14.5485      0.0000       0.0000       0.0000       15.5692      -99999.0000  -99999.0000  0.0000       0.0000       65.5685      0.0000       0.0000       0.0000       
3014.6250    -99999.0000  23.1831      0.0000       14.8265      0.0000       0.0000       0.0000       15.9236      -99999.0000  -99999.0000  0.0000       0.0000       65.7339      0.0000       0.0000       0.0000       
3014.7500    -99999.0000  23.1569      0.0000       15.1805      0.0000       0.0000       0.0000       16.2843      -99999.0000  -99999.0000  0.0000       0.0000       65.9310      0.0000       0.0000       0.0000       
3014.8750    -99999.0000  23.1690      0.0000       15.6611      0.0000       0.0000       0.0000       16.5816      -99999.0000  -99999.0000  0.0000       0.0000       66.1279      0.0000       0.0000       0.0000       
3015.0000    -99999.0000  23.1681      0.0000       16.3953      0.0000       0.0000       0.0000       16.9233      -99999.0000  -99999.0000  0.0000       0.0000       66.2931      0.0000       0.0000       0.0000       
3015.1250    -99999.0000  23.1675      0.0000       16.0145      0.0000       0.0000       0.0000       17.2397      -99999.0000  -99999.0000  0.0000       0.0000       66.4270      0.0000       0.0000       0.0000       
3015.2500    -99999.0000  23.1540      0.0000       14.6454      0.0000       0.0000       0.0000       17.4357      -99999.0000  -99999.0000  0.0000       0.0000       66.6476      0.0000       0.0000       0.0000       
3015.3750    -99999.0000  23.1531      0.0000       14.6699      0.0000       0.0000       0.0000       17.4859      -99999.0000  -99999.0000  0.0000       0.0000       66.8997      0.0000       0.0000       0.0000       
3015.5000    -99999.0000  23.1780      0.0000       15.3787      0.0000       0.0000       0.0000       17.7199      -99999.0000  -99999.0000  0.0000       0.0000       67.0098      0.0000       0.0000       0.0000       
3015.6250    -99999.0000  23.1518      0.0000       16.1127      0.0000       0.0000       0.0000       17.9856      -99999.0000  -99999.0000  0.0000       0.0000       67.1911      0.0000       0.0000       0.0000       
3015.7500    -99999.0000  23.1511      0.0000       16.9988      0.0000       0.0000       0.0000       18.3779      -99999.0000  -99999.0000  0.0000       0.0000       67.3643      0.0000       0.0000       0.0000       
3015.8750    -99999.0000  23.1503      0.0000       17.0741      0.0000       0.0000       0.0000       18.7260      -99999.0000  -99999.0000  0.0000       0.0000       67.5692      0.0000       0.0000       0.0000       
3016.0000    -99999.0000  23.1243      0.0000       15.8823      0.0000       0.0000       0.0000       19.1120      -99999.0000  -99999.0000  0.0000       0.0000       67.7424      0.0000       0.0000       0.0000       
3016.1250    -99999.0000  23.0730      0.0000       15.2988      0.0000       0.0000       0.0000       19.4664      -99999.0000  -99999.0000  0.0000       0.0000       67.9237      0.0000       0.0000       0.0000       
3016.2500    -99999.0000  23.0342      0.0000       14.4873      0.0000       0.0000       0.0000       19.7764      -99999.0000  -99999.0000  0.0000       0.0000       68.1127      0.0000       0.0000       0.0000       
3016.3750    -99999.0000  22.9955      0.0000       13.8530      0.0000       0.0000       0.0000       20.2257      -99999.0000  -99999.0000  0.0000       0.0000       68.2543      0.0000       0.0000       0.0000       
3016.5000    -99999.0000  22.9313      0.0000       13.1935      0.0000       0.0000       0.0000       20.4597      -99999.0000  -99999.0000  0.0000       0.0000       68.4038      0.0000       0.0000       0.0000       
3016.6250    -99999.0000  22.8799      0.0000       14.0035      0.0000       0.0000       0.0000       20.7824      -99999.0000  -99999.0000  0.0000       0.0000       68.4662      0.0000       0.0000       0.0000       
3016.7500    -99999.0000  22.8538      0.0000       15.1682      0.0000       0.0000       0.0000       21.1748      -99999.0000  -99999.0000  0.0000       0.0000       68.5206      0.0000       0.0000       0.0000       
3016.8750    -99999.0000  22.8403      0.0000       15.9531      0.0000       0.0000       0.0000       21.5862      -99999.0000  -99999.0000  0.0000       0.0000       68.5830      0.0000       0.0000       0.0000       
3017.0000    -99999.0000  22.8144      0.0000       16.9659      0.0000       0.0000       0.0000       21.9405      -99999.0000  -99999.0000  0.0000       0.0000       68.6452      0.0000       0.0000       0.0000       
3017.1250    -99999.0000  22.7756      0.0000       17.8773      0.0000       0.0000       0.0000       22.2631      -99999.0000  -99999.0000  0.0000       0.0000       68.6601      0.0000       0.0000       0.0000       
